date,ticker,close_price
2024-01-01,AAPL,110.5018
2024-01-01,MSFT,332.9054
2024-01-01,AMZN,50.0065
2024-01-01,GOOGL,150.3073
2024-01-01,NVDA,260.474
2024-01-01,META,256.3237
2024-01-01,JPM,329.0222
2024-01-01,V,225.6227
2024-01-01,UNH,226.0023
2024-01-01,HD,304.9995
2024-01-01,COST,226.4923
2024-01-01,PEP,265.9017
2024-01-01,KO,360.0902
2024-01-01,TMO,191.5394
2024-01-01,CRM,183.3105
2024-01-01,ADBE,50.3368
2024-01-01,NFLX,261.8021
2024-01-01,ORCL,59.8878
2024-01-01,INTC,227.9147
2024-01-01,CSCO,336.1314
2024-01-01,IEF,112.352
2024-01-01,TLT,96.3328
2024-01-01,AGG,126.597
2024-01-01,BND,96.4443
2024-01-01,LQD,123.6979
2024-01-01,HYG,116.1484
2024-01-01,CASH,1.0
2024-01-02,AAPL,111.5842
2024-01-02,MSFT,330.6273
2024-01-02,AMZN,49.8269
2024-01-02,GOOGL,146.3332
2024-01-02,NVDA,263.4847
2024-01-02,META,258.9
2024-01-02,JPM,329.1095
2024-01-02,V,221.5319
2024-01-02,UNH,229.3274
2024-01-02,HD,302.622
2024-01-02,COST,225.3054
2024-01-02,PEP,273.3321
2024-01-02,KO,357.1218
2024-01-02,TMO,193.2836
2024-01-02,CRM,184.5836
2024-01-02,ADBE,50.5826
2024-01-02,NFLX,262.7404
2024-01-02,ORCL,60.1703
2024-01-02,INTC,228.704
2024-01-02,CSCO,335.9892
2024-01-02,IEF,113.0537
2024-01-02,TLT,95.8463
2024-01-02,AGG,127.1395
2024-01-02,BND,96.7808
2024-01-02,LQD,124.0682
2024-01-02,HYG,116.6906
2024-01-02,CASH,1.0
2024-01-03,AAPL,111.4826
2024-01-03,MSFT,323.2782
2024-01-03,AMZN,49.7936
2024-01-03,GOOGL,144.6219
2024-01-03,NVDA,261.2234
2024-01-03,META,255.0918
2024-01-03,JPM,327.2902
2024-01-03,V,219.9902
2024-01-03,UNH,222.8304
2024-01-03,HD,305.2253
2024-01-03,COST,231.3535
2024-01-03,PEP,275.3753
2024-01-03,KO,356.3236
2024-01-03,TMO,193.1953
2024-01-03,CRM,183.688
2024-01-03,ADBE,50.6474
2024-01-03,NFLX,262.6763
2024-01-03,ORCL,59.575
2024-01-03,INTC,233.3683
2024-01-03,CSCO,330.0604
2024-01-03,IEF,113.4011
2024-01-03,TLT,95.8266
2024-01-03,AGG,128.1317
2024-01-03,BND,96.9321
2024-01-03,LQD,123.9144
2024-01-03,HYG,116.5983
2024-01-03,CASH,1.0
2024-01-04,AAPL,111.5582
2024-01-04,MSFT,318.9096
2024-01-04,AMZN,49.3454
2024-01-04,GOOGL,141.5531
2024-01-04,NVDA,258.3824
2024-01-04,META,255.4303
2024-01-04,JPM,328.5346
2024-01-04,V,214.809
2024-01-04,UNH,222.508
2024-01-04,HD,307.35
2024-01-04,COST,230.9475
2024-01-04,PEP,273.336
2024-01-04,KO,354.6325
2024-01-04,TMO,191.9803
2024-01-04,CRM,182.3213
2024-01-04,ADBE,50.7631
2024-01-04,NFLX,270.0029
2024-01-04,ORCL,59.0553
2024-01-04,INTC,232.5241
2024-01-04,CSCO,329.9216
2024-01-04,IEF,113.112
2024-01-04,TLT,96.2668
2024-01-04,AGG,126.9421
2024-01-04,BND,96.7456
2024-01-04,LQD,124.3448
2024-01-04,HYG,116.4845
2024-01-04,CASH,1.0
2024-01-05,AAPL,110.4817
2024-01-05,MSFT,320.6602
2024-01-05,AMZN,49.8919
2024-01-05,GOOGL,141.9392
2024-01-05,NVDA,255.9499
2024-01-05,META,256.8797
2024-01-05,JPM,327.0152
2024-01-05,V,216.7728
2024-01-05,UNH,226.513
2024-01-05,HD,297.8016
2024-01-05,COST,231.3015
2024-01-05,PEP,267.6974
2024-01-05,KO,365.0947
2024-01-05,TMO,190.9402
2024-01-05,CRM,183.9907
2024-01-05,ADBE,50.7518
2024-01-05,NFLX,267.4549
2024-01-05,ORCL,58.4137
2024-01-05,INTC,236.9951
2024-01-05,CSCO,333.7722
2024-01-05,IEF,114.014
2024-01-05,TLT,96.3074
2024-01-05,AGG,127.1137
2024-01-05,BND,96.6616
2024-01-05,LQD,124.2268
2024-01-05,HYG,116.0223
2024-01-05,CASH,1.0
